date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,4867,0,0,1,0,0
2022-07-25,2.1.0,4991,133,9,1,1,0
2023-04-05,2.1.1,4948,64,107,1,1,1
2023-04-24,2.1.2,4967,45,26,1,1,2
2024-03-29,2.2.0,5135,263,95,1,2,2
2024-04-12,2.2.1,5202,197,130,1,2,3
