date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2023-09-11,2.3.8,44812,24,6,1,3,16
2024-01-08,2.3.9,44832,39,19,2,3,18
2024-03-26,2.3.10,44842,79,69,2,3,19
