date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,6108,0,0,1,0,0
2021-11-22,2.0.1,6134,45,19,1,0,1
2022-07-25,2.0.2,6173,171,132,1,0,2
2023-04-25,2.1.0,5479,252,946,1,1,2
2023-04-27,2.1.1,5479,0,0,1,1,3
2023-11-28,3.0.0,5653,235,61,2,1,3
2024-04-12,3.0.1,5718,229,164,2,1,4
