date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2023-04-25,1.0.0,3852,0,0,1,0,0
2023-04-27,1.0.1,3852,0,0,1,0,1
2023-11-28,2.0.0,4012,236,76,2,0,1
2024-04-12,2.0.1,4088,230,154,2,0,2
