date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,3582,0,0,1,0,0
2022-05-30,2.1.0,4767,1619,434,1,1,0
2022-10-03,2.2.0,4955,339,151,1,2,0
2022-11-17,2.3.0,5375,461,41,1,3,0
2023-09-11,2.3.1,5397,33,11,1,3,1
2024-04-12,2.4.0,5290,566,673,1,4,1
2026-02-05,2.4.1,5314,282,258,1,4,2
