date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,1445,0,0,1,0,0
2024-04-12,2.0.1,1709,403,139,1,0,1
2025-04-18,2.0.2,1552,155,312,1,0,2
