date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,5914,0,0,1,0,0
2023-02-17,2.1.0,5599,180,495,1,1,0
2023-04-04,2.2.0,5611,26,14,1,2,0
2023-05-05,2.2.1,5692,145,64,1,2,1
2023-11-28,2.3.0,5970,344,66,1,3,1
2024-04-12,2.3.1,6044,238,164,1,3,2
2024-06-03,2.4.0,6133,121,32,1,4,2
2024-09-06,2.5.0,6182,54,5,1,5,2
2024-09-19,2.5.1,6236,64,10,1,5,3
2026-02-20,2.5.2,6264,322,294,1,5,4
