date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,4863,0,0,1,0,0
2021-11-22,2.0.1,4906,62,19,1,0,1
2022-07-25,2.0.2,4945,167,128,1,0,2
2023-04-25,2.1.0,4215,150,880,1,1,2
2023-04-27,2.1.1,4253,98,60,1,1,3
2023-11-28,3.0.0,4427,231,57,2,1,3
2024-04-12,3.0.1,4492,226,161,2,1,4
2024-06-25,3.0.2,4488,97,101,2,1,5
2024-09-06,3.1.0,4524,48,12,2,2,5
2026-02-20,3.1.1,4558,338,304,2,2,6
