date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2023-11-13,2.3.2,15663,210,247,1,3,8
2024-03-29,2.3.3,15725,105,43,2,4,10
2024-06-04,2.3.4,15795,334,264,2,5,12
2024-06-24,2.3.5,15828,35,2,2,5,14
2024-12-11,2.3.6,15828,13,13,2,6,19
