date,version_tag,total_lines,lines_added,lines_deleted,majors,minors,patches
2021-10-06,2.0.0,3532,0,0,1,0,0
2023-02-17,2.1.0,3309,69,292,1,1,0
2023-11-27,3.0.0,3492,196,13,2,1,0
2024-04-12,3.0.1,3561,217,148,2,1,1
2024-09-06,3.1.0,3583,39,17,2,2,1
2025-04-18,3.1.1,3421,155,317,2,2,2
